,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-187,2000,32,28,2296,25.5,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,147,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-288,1996,25,22,1873,20.8,5,3,8,5,0,0,1,0,5.9,5.9,2.8,8.7,14,30,96,0.24,0.14,0.38,0.24,0.38,0.28,0.13,0.42,0.28,0.42,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-072,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-215,1997,19,17,1545,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,15,71,3,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-028,1996,14,13,1235,13.7,1,0,1,1,0,0,4,0,1.4,1.4,0.4,1.8,2,18,4,0.07,0.00,0.07,0.07,0.07,0.10,0.03,0.13,0.10,0.13,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-029,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-325,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-010,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-282,1995,24,20,1946,21.6,0,1,1,0,0,0,2,0,1.2,1.2,0.3,1.4,22,93,12,0.00,0.05,0.05,0.00,0.05,0.05,0.01,0.07,0.05,0.07,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-068,1995,23,19,1683,18.7,0,0,0,0,0,0,2,0,1.0,1.0,0.6,1.6,22,128,28,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-160,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-016,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-148,2002,12,7,556,6.2,3,1,4,3,0,0,2,0,1.0,1.0,0.5,1.6,9,14,21,0.49,0.16,0.65,0.49,0.65,0.16,0.09,0.25,0.16,0.25,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-202,1998,31,28,2383,26.5,1,7,8,1,0,0,4,0,1.8,1.8,8.9,10.6,35,194,122,0.04,0.26,0.30,0.04,0.30,0.07,0.33,0.40,0.07,0.40,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-207,1992,32,32,2880,32.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-016,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-076,1994,27,24,2038,22.6,11,1,12,11,0,0,2,0,6.3,6.3,1.7,8.0,64,107,215,0.49,0.04,0.53,0.49,0.53,0.28,0.07,0.35,0.28,0.35,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-086,2000,24,7,917,10.2,7,0,7,6,1,1,0,0,5.2,4.4,1.3,5.7,22,24,58,0.69,0.00,0.69,0.59,0.59,0.51,0.13,0.64,0.44,0.56,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-127,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-331,1996,27,27,2332,25.9,1,0,1,1,0,0,7,0,1.6,1.6,1.1,2.6,7,75,6,0.04,0.00,0.04,0.04,0.04,0.06,0.04,0.10,0.06,0.10,Matches,e34fc66d
21,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-172,2002,15,1,209,2.3,0,0,0,0,0,0,0,0,0.8,0.8,0.7,1.6,16,10,19,0.00,0.00,0.00,0.00,0.00,0.35,0.31,0.67,0.35,0.67,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-147,1999,25,10,1104,12.3,3,0,3,3,0,0,2,0,2.2,2.2,1.0,3.2,27,45,67,0.24,0.00,0.24,0.24,0.24,0.18,0.08,0.26,0.18,0.26,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-030,1990,29,17,1525,16.9,4,3,7,4,0,0,2,0,5.0,5.0,1.2,6.2,37,24,97,0.24,0.18,0.41,0.24,0.41,0.29,0.07,0.37,0.29,0.37,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-062,2000,18,17,1366,15.2,4,1,5,4,0,0,4,0,4.8,4.8,1.7,6.5,70,54,125,0.26,0.07,0.33,0.26,0.33,0.32,0.11,0.43,0.32,0.43,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-280,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-059,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-280,1996,20,12,1155,12.8,2,0,2,2,0,0,2,0,1.5,1.5,0.8,2.3,19,39,62,0.16,0.00,0.16,0.16,0.16,0.12,0.06,0.18,0.12,0.18,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-076,1997,25,13,1187,13.2,1,1,2,1,0,0,2,0,1.6,1.6,0.7,2.3,37,15,60,0.08,0.08,0.15,0.08,0.15,0.12,0.05,0.17,0.12,0.17,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-028,1992,26,11,1114,12.4,1,0,1,1,0,0,5,0,1.6,1.6,1.7,3.3,45,60,67,0.08,0.00,0.08,0.08,0.08,0.13,0.14,0.27,0.13,0.27,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-206,1994,24,24,2115,23.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-313,1989,14,4,509,5.7,1,0,1,1,0,0,1,0,1.5,1.5,0.4,1.9,9,3,28,0.18,0.00,0.18,0.18,0.18,0.26,0.07,0.33,0.26,0.33,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-006,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-124,1992,19,17,1520,16.9,1,0,1,1,0,0,2,0,0.7,0.7,1.0,1.7,33,59,43,0.06,0.00,0.06,0.06,0.06,0.04,0.06,0.10,0.04,0.10,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-258,1997,22,12,1025,11.4,4,1,5,4,0,0,1,0,5.5,5.5,1.1,6.6,13,10,41,0.35,0.09,0.44,0.35,0.44,0.48,0.09,0.58,0.48,0.58,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-203,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.19,0.58,0.77,0.19,0.77,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-131,1989,11,1,277,3.1,0,0,0,0,0,1,0,0,1.0,0.3,0.0,0.3,3,7,15,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.08,0.08,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-228,1991,33,26,2271,25.2,3,2,5,3,0,0,3,0,2.8,2.8,2.6,5.3,69,53,146,0.12,0.08,0.20,0.12,0.20,0.11,0.10,0.21,0.11,0.21,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-245,1991,24,17,1604,17.8,1,1,2,1,0,0,3,0,2.1,2.1,1.6,3.7,21,63,71,0.06,0.06,0.11,0.06,0.11,0.12,0.09,0.21,0.12,0.21,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-242,1989,20,12,1151,12.8,0,0,0,0,0,0,3,0,0.3,0.3,1.0,1.3,17,61,66,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.10,0.03,0.10,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-032,2001,9,8,725,8.1,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.3,9,45,1,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-261,1997,29,23,1735,19.3,4,3,7,4,0,0,4,0,4.9,4.9,3.6,8.5,76,26,166,0.21,0.16,0.36,0.21,0.36,0.25,0.19,0.44,0.25,0.44,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-187,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10,24,1,0.17,0.00,0.17,0.17,0.17,0.13,0.06,0.20,0.13,0.20,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-234,1993,24,14,1245,13.8,3,2,5,3,0,1,2,0,6.9,6.1,0.9,7.0,15,20,82,0.22,0.14,0.36,0.22,0.36,0.50,0.06,0.56,0.44,0.51,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-019,1998,18,4,546,6.1,0,1,1,0,0,0,3,1,0.4,0.4,1.0,1.4,8,37,22,0.00,0.16,0.16,0.00,0.16,0.06,0.17,0.23,0.06,0.23,Matches,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-139,1997,29,28,2356,26.2,10,1,11,10,0,0,2,0,8.0,8.0,2.1,10.1,86,66,235,0.38,0.04,0.42,0.38,0.42,0.30,0.08,0.39,0.30,0.39,Matches,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-066,2002,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-110,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-015,1996,14,14,1132,12.6,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,4,31,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-015,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-009,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-311,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-137,2001,22,22,1752,19.5,0,2,2,0,0,0,4,0,1.0,1.0,1.0,2.1,9,36,2,0.00,0.10,0.10,0.00,0.10,0.05,0.05,0.11,0.05,0.11,Matches,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-260,1995,30,20,1833,20.4,5,3,8,1,4,4,0,0,6.7,3.5,3.9,7.4,92,69,208,0.25,0.15,0.39,0.05,0.20,0.33,0.19,0.52,0.17,0.36,Matches,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-306,1997,18,17,1500,16.7,5,2,7,5,0,0,8,0,2.2,2.2,0.8,3.1,26,76,19,0.30,0.12,0.42,0.30,0.42,0.13,0.05,0.18,0.13,0.18,Matches,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-132,2002,10,10,814,9.0,0,1,1,0,0,0,1,0,0.1,0.1,0.8,0.9,16,26,23,0.00,0.11,0.11,0.00,0.11,0.01,0.08,0.10,0.01,0.10,Matches,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-183,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-027,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-320,1996,31,29,2383,26.5,7,1,8,7,0,0,5,0,3.8,3.8,3.0,6.8,34,70,83,0.26,0.04,0.30,0.26,0.30,0.14,0.11,0.26,0.14,0.26,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-240,1996,20,8,814,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,10,45,7,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-083,1991,8,8,592,6.6,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,1,10,0,0.00,0.15,0.15,0.00,0.15,0.00,0.03,0.03,0.00,0.03,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-105,2000,29,28,2497,27.7,0,0,0,0,0,0,2,0,1.3,1.3,1.0,2.3,7,71,3,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-128,1996,32,32,2855,31.7,5,4,9,4,1,2,2,0,7.9,6.9,6.3,13.2,93,63,194,0.16,0.13,0.28,0.13,0.25,0.25,0.20,0.45,0.22,0.42,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-198,1997,3,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,11,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-229,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,8,4,17,0.31,0.00,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27,Matches,97220da2
65,David Brooks,wls WAL,DFFW,Bournemouth,25-293,1997,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-172,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-075,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15,0.00,0.61,0.61,0.00,0.61,0.06,0.11,0.17,0.06,0.17,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-123,1996,33,24,2142,23.8,5,2,7,5,0,0,0,0,5.7,5.7,5.2,11.0,52,126,119,0.21,0.08,0.29,0.21,0.29,0.24,0.22,0.46,0.24,0.46,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-221,2002,18,14,1146,12.7,0,1,1,0,0,0,1,0,0.2,0.2,0.9,1.1,47,34,58,0.00,0.08,0.08,0.00,0.08,0.01,0.07,0.09,0.01,0.09,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,MFFW,Brighton,18-125,2004,5,1,145,1.6,1,1,2,1,0,0,0,0,0.9,0.9,0.5,1.3,4,2,5,0.62,0.62,1.24,0.62,1.24,0.53,0.29,0.82,0.53,0.82,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,30-353,1992,31,30,2631,29.2,0,0,0,0,0,0,4,0,1.4,1.4,1.2,2.5,23,87,38,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-060,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-176,2001,29,28,2528,28.1,1,1,2,1,0,0,8,0,1.3,1.3,2.3,3.6,25,172,38,0.04,0.04,0.07,0.04,0.07,0.05,0.08,0.13,0.05,0.13,Matches,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-097,1991,27,1,578,6.4,0,0,0,0,0,0,2,0,0.7,0.7,1.2,1.9,24,66,35,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30,Matches,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-222,1996,12,8,856,9.5,1,0,1,1,0,0,2,0,0.8,0.8,0.0,0.8,3,28,0,0.11,0.00,0.11,0.11,0.11,0.08,0.00,0.09,0.08,0.09,Matches,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-042,1997,12,10,820,9.1,1,0,1,1,0,0,2,0,3.1,3.1,0.3,3.5,11,11,34,0.11,0.00,0.11,0.11,0.11,0.34,0.04,0.38,0.34,0.38,Matches,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-118,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-335,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,72,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,Matches,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-120,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2,0.00,0.00,0.00,0.00,0.00,0.32,1.95,2.27,0.32,2.27,Matches,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-084,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Matches,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-043,1993,2,2,179,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,10,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-240,2002,12,4,340,3.8,2,0,2,2,0,0,0,0,1.1,1.1,0.1,1.2,7,11,26,0.53,0.00,0.53,0.53,0.53,0.29,0.03,0.32,0.29,0.32,Matches,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-063,1992,20,16,1428,15.9,2,3,5,2,0,0,5,2,2.1,2.1,2.3,4.4,8,92,26,0.13,0.19,0.32,0.13,0.32,0.13,0.15,0.27,0.13,0.27,Matches,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-263,1997,23,18,1639,18.2,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.9,41,74,56,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-143,1995,32,31,2805,31.2,2,3,5,2,0,0,3,0,2.0,2.0,2.5,4.6,36,99,136,0.06,0.10,0.16,0.06,0.16,0.07,0.08,0.15,0.07,0.15,Matches,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-055,1994,18,14,1261,14.0,1,0,1,1,0,0,3,1,0.3,0.3,1.0,1.3,24,70,46,0.07,0.00,0.07,0.07,0.07,0.02,0.07,0.10,0.02,0.10,Matches,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-094,2004,12,1,331,3.7,2,0,2,2,0,0,1,0,2.3,2.3,0.3,2.7,15,13,31,0.54,0.00,0.54,0.54,0.54,0.63,0.09,0.73,0.63,0.73,Matches,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-136,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-296,1999,19,13,1198,13.3,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.8,11,45,15,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-097,1995,13,2,326,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,5,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-127,1996,21,13,1244,13.8,2,2,4,2,0,0,3,0,1.2,1.2,2.2,3.5,41,38,122,0.14,0.14,0.29,0.14,0.29,0.09,0.16,0.25,0.09,0.25,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-064,1995,26,16,1383,15.4,1,0,1,1,0,0,2,0,1.9,1.9,1.2,3.1,32,57,51,0.07,0.00,0.07,0.07,0.07,0.12,0.08,0.20,0.12,0.20,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-189,2003,11,1,232,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,13,12,16,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.16,0.11,0.16,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-079,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-022,1991,22,19,1640,18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,14,52,29,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-061,1993,22,22,1970,21.9,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.2,4,40,1,0.05,0.05,0.09,0.05,0.09,0.04,0.01,0.05,0.04,0.05,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-185,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-198,1988,22,19,1612,17.9,1,0,1,1,0,0,1,0,0.3,0.3,0.6,0.9,13,55,34,0.06,0.00,0.06,0.06,0.06,0.02,0.03,0.05,0.02,0.05,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,21-362,2001,22,17,1581,17.6,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,11,60,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-060,2003,11,9,801,8.9,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.8,13,47,3,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-083,1997,24,17,1570,17.4,0,2,2,0,0,0,3,0,0.2,0.2,2.3,2.4,9,58,8,0.00,0.11,0.11,0.00,0.11,0.01,0.13,0.14,0.01,0.14,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-008,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-240,1991,16,14,1303,14.5,1,0,1,1,0,0,4,0,1.0,1.0,0.7,1.7,2,37,2,0.07,0.00,0.07,0.07,0.07,0.07,0.05,0.12,0.07,0.12,Matches,dc64b8b3
