,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-233,1996,1.2,3,1,2,1,0,0,1,0.0,1,1,0,1,1,4,1,0,Matches,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-013,1995,7.0,18,8,10,6,2,11,21,52.4,10,15,4,11,8,26,11,0,Matches,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-013,1995,2.4,4,2,0,3,1,2,3,66.7,1,2,0,2,9,13,4,0,Matches,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-164,1997,7.8,16,11,5,5,6,8,17,47.1,9,13,1,12,2,18,6,0,Matches,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-141,1999,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-234,1998,24.7,51,28,14,32,5,18,45,40.0,27,55,13,42,27,78,21,0,Matches,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-051,1999,9.1,25,15,14,10,1,8,14,57.1,6,11,1,10,6,31,11,0,Matches,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-349,1997,19.2,19,11,9,9,1,9,14,64.3,5,19,11,8,18,37,48,1,Matches,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-105,1997,7.4,12,8,2,8,2,4,8,50.0,4,6,0,6,2,14,0,0,Matches,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-103,1994,30.3,28,18,15,11,2,8,18,44.4,10,39,24,15,34,62,106,2,Matches,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-282,1993,14.9,26,10,18,8,0,17,29,58.6,12,16,5,11,15,41,37,0,Matches,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-109,1997,16.7,23,16,15,7,1,12,24,50.0,12,20,14,6,27,50,54,0,Matches,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-317,1998,7.0,17,9,11,5,1,9,21,42.9,12,15,2,13,11,28,6,0,Matches,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-168,2005,0.3,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-102,1992,7.4,16,10,12,3,1,8,10,80.0,2,11,6,5,8,24,14,1,Matches,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-130,1997,32.9,44,28,27,13,4,18,27,66.7,9,43,25,18,26,70,116,2,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-117,1993,12.0,21,13,7,10,4,10,30,33.3,20,22,3,19,10,31,7,0,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-110,2000,26.1,72,44,39,30,3,29,51,56.9,22,38,11,27,52,124,39,0,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-098,1999,5.5,11,7,3,7,1,3,6,50.0,3,11,1,10,4,15,3,0,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-141,2001,0.8,5,4,0,4,1,2,3,66.7,1,0,0,0,1,6,1,0,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-103,1989,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-117,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-158,1991,30.0,23,14,16,5,2,11,23,47.8,12,30,21,9,28,51,72,0,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-136,2003,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-236,2003,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-254,1993,31.0,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,9,2,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-102,1998,17.8,24,13,7,12,5,7,11,63.6,4,16,5,11,3,27,22,0,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-090,2003,6.1,16,9,5,10,1,3,8,37.5,5,7,0,7,6,22,6,0,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-001,2002,4.7,3,0,0,2,1,1,2,50.0,1,4,0,4,2,5,4,0,Matches,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-024,2003,16.6,22,14,6,10,6,6,29,20.7,23,25,1,24,14,36,7,0,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-291,1992,1.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-267,1994,22.2,43,26,19,20,4,18,42,42.9,24,37,3,34,26,69,36,0,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-104,1999,15.5,42,26,28,11,3,20,32,62.5,12,15,3,12,12,54,58,0,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-073,1992,18.2,14,11,8,3,3,6,23,26.1,17,21,8,13,10,24,18,1,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-097,1998,22.2,48,25,28,14,6,29,46,63.0,17,22,6,16,34,82,29,1,Matches,d38fdf53
