,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
100,Levi Colwill,eng ENG,DF,Brighton,20-061,2003,8.9,0,4,0,0.0,0.45,0.00,0.00,,7.3,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-084,1997,17.4,0,5,0,0.0,0.29,0.00,0.00,,28.0,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-009,1991,10.6,0,3,0,0.0,0.28,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-241,1991,14.5,1,10,2,20.0,0.69,0.14,0.10,0.50,9.5,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-213,1996,1.8,0,7,2,28.6,3.82,1.09,0.00,0.00,13.0,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-203,1988,11.3,1,26,12,46.2,2.30,1.06,0.04,0.08,11.9,0,0,0,2.8,2.8,0.11,-1.8,-1.8,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-249,1992,20.1,0,5,0,0.0,0.25,0.00,0.00,,24.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-320,1992,8.8,1,21,8,38.1,2.40,0.91,0.05,0.13,21.6,2,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-034,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-134,1989,21.6,0,9,1,11.1,0.42,0.05,0.00,0.00,22.5,4,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-280,1998,18.6,0,7,0,0.0,0.38,0.00,0.00,,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-336,1999,9.3,2,24,7,29.2,2.59,0.75,0.08,0.29,19.4,0,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-201,1998,12.0,4,30,16,53.3,2.49,1.33,0.13,0.25,14.6,0,0,0,3.5,3.5,0.12,+0.5,+0.5,Matches,ca45605e
